# Stereo EQ (RFX index 0) — PRAM @0x0a04080c, CRAM @0x0a0409ac, 104 slots
# slot  PRAM      CRAM   coef      op        sel   parallel-channel(bits31:16)
    0  000074c0  0000   +0.0000  7:NEGMAC  0x0c0  0000 
    1  00007521  0000   +0.0000  7:NEGMAC  0x121  0000 
    2  00000030  0009   +0.0011  0:MAC     0x030  0000 
    3  0000f500  0000   +0.0000  f:?       0x100  0000 
    4  00007580  0000   +0.0000  7:NEGMAC  0x180  0000 
    5  000075e1  0000   +0.0000  7:NEGMAC  0x1e1  0000 
    6  00000030  0009   +0.0011  0:MAC     0x030  0000 
    7  0000f5c0  0000   +0.0000  f:?       0x1c0  0000 
    8  00005280  0000   +0.0000  5:?       0x080  0000 
    9  00000021  e000  -16.0000  0:MAC     0x021  0000 
   10  00007db0  0005   +0.0006  7:NEGMAC  0x1b0  0000 
   11  04007430  02d1   +0.0880  7:NEGMAC  0x030  0400 
   12  00007465  0000   +0.0000  7:NEGMAC  0x065  0000 
   13  0000f415  5000   +1.0000  f:?       0x015  0000 
   14  04000023  0000   +0.0000  0:MAC     0x023  0400 
   15  040074a3  0000   +0.0000  7:NEGMAC  0x0a3  0400 
   16  0000f455  5000   +1.0000  f:?       0x055  0000 
   17  00000023  0000   +0.0000  0:MAC     0x023  0000 
   18  000074e3  0000   +0.0000  7:NEGMAC  0x0e3  0000 
   19  0000f495  0000   +0.0000  f:?       0x095  0000 
   20  00007523  0000   +0.0000  7:NEGMAC  0x123  0000 
   21  00000023  5000   +1.0000  0:MAC     0x023  0000 
   22  000074f0  0003   +0.0004  7:NEGMAC  0x0f0  0000 
   23  00007494  0000   +0.0000  7:NEGMAC  0x094  0000 
   24  00007563  5000   +1.0000  7:NEGMAC  0x163  0000 
   25  0000f4d5  0000   +0.0000  f:?       0x0d5  0000 
   26  000075a3  0000   +0.0000  7:NEGMAC  0x1a3  0000 
   27  0000f555  0000   +0.0000  f:?       0x155  0000 
   28  000075e3  0000   +0.0000  7:NEGMAC  0x1e3  0000 
   29  00000023  5000   +1.0000  0:MAC     0x023  0000 
   30  000075b0  0003   +0.0004  7:NEGMAC  0x1b0  0000 
   31  00007554  0000   +0.0000  7:NEGMAC  0x154  0000 
   32  00000023  5000   +1.0000  0:MAC     0x023  0000 
   33  0000f595  0000   +0.0000  f:?       0x195  0000 
   34  00000030  0003   +0.0004  0:MAC     0x030  0000 
   35  0800d540  0000   +0.0000  d:?       0x140  0800 
   36  000076c0  0000   +0.0000  7:NEGMAC  0x0c0  0000 
   37  00007721  0000   +0.0000  7:NEGMAC  0x121  0000 
   38  00000030  0009   +0.0011  0:MAC     0x030  0000 
   39  0000f700  0000   +0.0000  f:?       0x100  0000 
   40  00007780  0000   +0.0000  7:NEGMAC  0x180  0000 
   41  000077e1  0000   +0.0000  7:NEGMAC  0x1e1  0000 
   42  00000030  0009   +0.0011  0:MAC     0x030  0000 
   43  0000f7c0  0000   +0.0000  f:?       0x1c0  0000 
   44  000052c0  0000   +0.0000  5:?       0x0c0  0000 
   45  00000021  e000  -16.0000  0:MAC     0x021  0000 
   46  00007db0  0005   +0.0006  7:NEGMAC  0x1b0  0000 
   47  00007630  02d1   +0.0880  7:NEGMAC  0x030  0000 
   48  00007665  0000   +0.0000  7:NEGMAC  0x065  0000 
   49  0000f615  5000   +1.0000  f:?       0x015  0000 
   50  00000023  0000   +0.0000  0:MAC     0x023  0000 
   51  000076a3  0000   +0.0000  7:NEGMAC  0x0a3  0000 
   52  0000f655  5000   +1.0000  f:?       0x055  0000 
   53  00000023  0000   +0.0000  0:MAC     0x023  0000 
   54  000076e3  0000   +0.0000  7:NEGMAC  0x0e3  0000 
   55  0000f695  0000   +0.0000  f:?       0x095  0000 
   56  00007723  0000   +0.0000  7:NEGMAC  0x123  0000 
   57  00000023  5000   +1.0000  0:MAC     0x023  0000 
   58  000076f0  0003   +0.0004  7:NEGMAC  0x0f0  0000 
   59  00007694  0000   +0.0000  7:NEGMAC  0x094  0000 
   60  00007763  5000   +1.0000  7:NEGMAC  0x163  0000 
   61  0000f6d5  0000   +0.0000  f:?       0x0d5  0000 
   62  000077a3  0000   +0.0000  7:NEGMAC  0x1a3  0000 
   63  0000f755  0000   +0.0000  f:?       0x155  0000 
   64  000077e3  0000   +0.0000  7:NEGMAC  0x1e3  0000 
   65  00000023  5000   +1.0000  0:MAC     0x023  0000 
   66  000077b0  0003   +0.0004  7:NEGMAC  0x1b0  0000 
   67  00007754  0000   +0.0000  7:NEGMAC  0x154  0000 
   68  00000023  5000   +1.0000  0:MAC     0x023  0000 
   69  0000f795  0000   +0.0000  f:?       0x195  0000 
   70  00000030  0003   +0.0004  0:MAC     0x030  0000 
   71  0000d580  0000   +0.0000  d:?       0x180  0000 
